번호,종목명,평가액(억 원),자산군 내 비중(퍼센트),지분율(퍼센트)
1,삼성전자,230421,16.7,7.26
2,SK하이닉스,95627,6.93,7.55
3,LG에너지솔루션,51706,3.75,6.35
4,삼성바이오로직스,46721,3.39,6.92
5,현대차,33529,2.43,7.55
6,기아,28589,2.07,7.14
7,NAVER,28134,2.04,8.94
8,셀트리온,27624,2,6.79
9,KB금융,27405,1.99,8.4
10,신한지주,20547,1.49,8.56
11,현대모비스,19937,1.44,9.06
12,HD현대중공업,16837,1.22,6.6
13,POSCO홀딩스,15628,1.13,7.46
14,하나금융지주,15081,1.09,9.25
15,삼성물산,14852,1.08,7.28
16,LG화학,14546,1.05,8.25
17,삼성생명,13400,0.97,7.07
18,메리츠금융지주,13180,0.95,6.65
19,삼성SDI,12598,0.91,7.41
20,삼성화재,11794,0.85,6.94
21,한화에어로스페이스,11063,0.8,7.44
22,HD한국조선해양,10583,0.77,6.55
23,HD현대일렉트릭,10556,0.76,7.67
24,SK텔레콤,10435,0.76,8.8
25,LG전자,10374,0.75,7.59
26,카카오,10196,0.74,6.02
27,크래프톤,10014,0.73,6.69
28,SK이노베이션,10006,0.72,5.92
29,한국전력,9662,0.7,7.5
30,KT&G,9517,0.69,7.09
31,삼성전기,9388,0.68,10.16
32,삼성에스디에스,9307,0.67,9.41
33,현대글로비스,8878,0.64,10.03
34,KT,8583,0.62,7.76
35,두산에너빌리티,8254,0.6,7.34
36,삼성중공업,8184,0.59,8.23
37,고려아연,8171,0.59,3.92
38,HMM,7940,0.58,5.11
39,우리금융지주,7808,0.57,6.84
40,SK스퀘어,7734,0.56,7.23
41,대한항공,7696,0.56,9.25
42,LG,7618,0.55,6.72
43,SK,7263,0.53,7.63
44,유한양행,6983,0.51,7.29
45,한화오션,6741,0.49,5.9
46,HD현대미포,6557,0.48,12.23
47,기업은행,6215,0.45,5.43
48,하이브,6054,0.44,7.52
49,포스코퓨처엠,5921,0.43,5.37
50,카카오뱅크,5780,0.42,5.76
51,SK바이오팜,5720,0.41,6.58
52,DB손해보험,5371,0.39,7.38
53,HD현대,5213,0.38,8.33
54,삼성증권,5191,0.38,13.37
55,HD현대마린솔루션,4912,0.36,6.85
56,삼양식품,4890,0.35,8.49
57,CJ제일제당,4813,0.35,12.51
58,LIG넥스원,4708,0.34,9.71
59,한국항공우주,4547,0.33,8.5
60,효성중공업,4506,0.33,12.29
